config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,exclude_hidden_optimum_from_initial,training_contains_hidden_optimum,initial_matches_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,initial_bitstring,initial_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,1","[0, 1]",4,16,11,6,True,True,False,False,1100,33223.5533,0111,39973.672854588236,1100,33223.5533,True,12,16,19,38000,18,56,516,ok,
"0,1","[0, 1]",4,16,12,6,True,True,False,False,1100,33223.5533,0010,40544.87922298824,1100,33223.5533,True,13,16,13,26000,18,56,496,ok,
"0,1","[0, 1]",4,16,13,6,True,True,False,False,1100,33223.5533,1111,37223.5533,1111,37223.5533,False,8,16,12,24000,18,56,502,ok,
"0,1","[0, 1]",4,16,14,6,True,True,False,False,1100,33223.5533,1001,39794.7596684,1001,39794.7596684,False,9,16,12,24000,14,38,65,ok,
"0,1","[0, 1]",4,16,15,6,True,True,False,False,1100,33223.5533,0100,46008.08335882357,1000,35794.7596684,False,12,16,15,30000,14,56,102,ok,
"0,1","[0, 1]",4,16,16,6,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1000,35794.7596684,False,13,16,21,42000,14,56,114,ok,
"0,1","[0, 1]",4,16,17,6,True,True,False,False,1100,33223.5533,0110,39973.672854588236,1110,37223.5533,False,10,16,13,26000,14,38,65,ok,
"0,1","[0, 1]",4,16,18,6,True,True,False,False,1100,33223.5533,1001,39794.7596684,1100,33223.5533,True,9,16,13,26000,18,56,504,ok,
"0,1","[0, 1]",4,16,19,6,True,True,False,False,1100,33223.5533,1101,37223.5533,1000,35794.7596684,False,14,16,14,28000,14,56,102,ok,
"0,1","[0, 1]",4,16,0,8,True,True,False,False,1100,33223.5533,1101,37223.5533,1100,33223.5533,True,13,16,13,26000,14,38,77,ok,
"0,1","[0, 1]",4,16,1,8,True,True,False,False,1100,33223.5533,1110,37223.5533,1110,37223.5533,False,9,16,12,24000,14,56,114,ok,
"0,1","[0, 1]",4,16,2,8,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1100,33223.5533,True,12,16,13,26000,14,38,77,ok,
"0,1","[0, 1]",4,16,3,8,True,True,False,False,1100,33223.5533,0100,46008.08335882357,1100,33223.5533,True,13,16,20,40000,14,56,114,ok,
"0,1","[0, 1]",4,16,4,8,True,True,False,False,1100,33223.5533,0100,46008.08335882357,1100,33223.5533,True,13,16,17,34000,14,56,114,ok,
"0,1","[0, 1]",4,16,5,8,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1101,37223.5533,False,13,16,21,42000,18,38,332,ok,
"0,1","[0, 1]",4,16,6,8,True,True,False,False,1100,33223.5533,1010,39794.7596684,1111,37223.5533,False,10,16,14,28000,18,56,502,ok,
"0,1","[0, 1]",4,16,7,8,True,True,False,False,1100,33223.5533,1011,39794.7596684,1000,35794.7596684,False,12,16,13,26000,14,56,102,ok,
